LID Summary

6694 LID(s) in Fabric:
   LID(Range) NodeGUID          Port Type Name
0x01d6        0x00117501027795e4   0 SW core6 L109B
0x01d7        0x001175010275405b   0 SW core6 L107B
0x01d8        0x0011750102755307   0 SW core6 L105B
0x01d9        0x00117501010dc94b   1 FI c410-012 hfi1_0
0x01da        0x001175010173e173   1 FI c410-011 hfi1_0
0x01db        0x0011750101718e96   1 FI c410-002 hfi1_0
0x01dc        0x0011750101718f18   1 FI c410-001 hfi1_0
0x01dd        0x00117501010dd0de   1 FI c410-024 hfi1_0
0x01de        0x0011750101718dc8   1 FI c410-033 hfi1_0
0x01df        0x001175010176d0c6   1 FI c410-034 hfi1_0
0x01e0        0x00117501010dd102   1 FI c410-043 hfi1_0
0x01e1        0x001175010171813d   1 FI c410-044 hfi1_0
0x01e2        0x001175010176d0e6   1 FI c410-042 hfi1_0
0x01e3        0x00117501010dccc4   1 FI c410-041 hfi1_0
0x01e4        0x00117501010dd2fb   1 FI c410-032 hfi1_0
0x01e5        0x001175010171a79c   1 FI c410-031 hfi1_0
0x01e6        0x0011750101718f2d   1 FI c410-022 hfi1_0
0x01e7        0x0011750101718184   1 FI c410-053 hfi1_0
0x01e8        0x001175010171a724   1 FI c410-054 hfi1_0
0x01e9        0x00117501017677fb   1 FI c418-103 hfi1_0
0x01ea        0x001175010176d0e4   1 FI c410-064 hfi1_0
0x01eb        0x001175010176d28a   1 FI c410-062 hfi1_0
0x01ec        0x0011750101718ee2   1 FI c410-061 hfi1_0
0x01ed        0x0011750101718e74   1 FI c410-052 hfi1_0
0x01ee        0x001175010171a702   1 FI c410-051 hfi1_0
0x01ef        0x001175010176739c   1 FI c418-104 hfi1_0
0x01f0        0x0011750101718b9d   1 FI c409-004 hfi1_0
0x01f1        0x0011750101718e6b   1 FI c409-013 hfi1_0
0x01f2        0x0011750101718a79   1 FI c426-113 hfi1_0
